#t(s) x y z
36 0.02470225016 -0.07524154413 -4.316925281e-23 
36 0.02507233794 -0.08078551613 2.63681356e-22 
36 0.02543750595 -0.08632951159 5.859331777e-22 
36 0.02580143235 -0.09187328591 9.122025428e-22 
37 -0.005555555556 0 0 
37 0 0 0 
37 0.005122239361 -0.002156320444 4.339326608e-22 
37 0.009371211992 -0.005740486383 6.986665115e-22 
37 0.01272269574 -0.01017595579 5.576957952e-22 
37 0.01531325723 -0.01509493755 3.488727368e-23 
37 0.01730812046 -0.0202840743 -7.004764131e-22 
37 0.01885287405 -0.02562433245 -1.455227832e-21 
37 0.0200628167 -0.03105001401 -2.073895225e-21 
37 0.02102544839 -0.03652471471 -2.456758859e-21 
37 0.02180615062 -0.04202801926 -2.563104908e-21 
37 0.02245366661 -0.04754828507 -2.40215872e-21 
37 0.02300450148 -0.05307873677 -2.01652832e-21 
37 0.02348620405 -0.05861533797 -1.4647618e-21 
37 0.02391972008 -0.06415561898 -8.065866317e-22 
37 0.02432102995 -0.06969802378 -9.214366337e-23 
37 0.02470225016 -0.07524154413 6.436063107e-22 
37 0.02507233794 -0.08078551613 1.381594813e-21 
37 0.02543750595 -0.08632951159 2.115593183e-21 
37 0.02580143235 -0.09187328591 2.846933017e-21 
38 -0.005555555556 0 0 
38 0 0 0 
38 0.005122239361 -0.002156320444 2.708720641e-21 
38 0.009371211992 -0.005740486383 5.223291697e-21 
38 0.01272269574 -0.01017595579 6.334799758e-21 
38 0.01531325723 -0.01509493755 5.971158392e-21 
38 0.01730812046 -0.0202840743 4.604125127e-21 
38 0.01885287405 -0.02562433245 2.799981599e-21 
38 0.0200628167 -0.03105001401 1.010449112e-21 
38 0.02102544839 -0.03652471471 -4.869614762e-22 
38 0.02180615062 -0.04202801926 -1.575641439e-21 
38 0.02245366661 -0.04754828507 -2.257092413e-21 
38 0.02300450148 -0.05307873677 -2.602211392e-21 
38 0.02348620405 -0.05861533797 -2.709679827e-21 
38 0.02391972008 -0.06415561898 -2.67598099e-21 
38 0.02432102995 -0.06969802378 -2.577584239e-21 
38 0.02470225016 -0.07524154413 -2.463762891e-21 
38 0.02507233794 -0.08078551613 -2.357657851e-21 
38 0.02543750595 -0.08632951159 -2.262941598e-21 
38 0.02580143235 -0.09187328591 -2.173523597e-21 
39 -0.005555555556 0 0 
39 0 0 0 
39 0.005122239361 -0.002156320444 5.179127096e-22 
39 0.009371211992 -0.005740486383 8.349325382e-22 
39 0.01272269574 -0.01017595579 7.5090789e-22 
39 0.01531325723 -0.01509493755 3.637958746e-22 
39 0.01730812046 -0.0202840743 -1.39874796e-22 
39 0.01885287405 -0.02562433245 -6.021064197e-22 
39 0.0200628167 -0.03105001401 -9.354565641e-22 
39 0.02102544839 -0.03652471471 -1.119527126e-21 
39 0.02180615062 -0.04202801926 -1.177621086e-21 
39 0.02245366661 -0.04754828507 -1.150763414e-21 
39 0.02300450148 -0.05307873677 -1.077791973e-21 
39 0.02348620405 -0.05861533797 -9.852526756e-22 
39 0.02391972008 -0.06415561898 -8.858066042e-22 
39 0.02432102995 -0.06969802378 -7.821297501e-22 
39 0.02470225016 -0.07524154413 -6.725786224e-22 
39 0.02507233794 -0.08078551613 -5.558242269e-22 
39 0.02543750595 -0.08632951159 -4.331915007e-22 
39 0.02580143235 -0.09187328591 -3.0805345e-22 
40 -0.005555555556 0 0 
40 0 0 0 
40 0.005122239361 -0.002156320444 5.355554776e-22 
40 0.009371211992 -0.005740486383 1.122386893e-21 
40 0.01272269574 -0.01017595579 1.523825228e-21 
40 0.01531325723 -0.01509493755 1.68953685e-21 
40 0.01730812046 -0.0202840743 1.66244102e-21 
40 0.01885287405 -0.02562433245 1.519984477e-21 
40 0.0200628167 -0.03105001401 1.336571311e-21 
40 0.02102544839 -0.03652471471 1.166151808e-21 
40 0.02180615062 -0.04202801926 1.036905146e-21 
40 0.02245366661 -0.04754828507 9.53914093e-22 
40 0.02300450148 -0.05307873677 9.066251013e-22 
40 0.02348620405 -0.05861533797 8.771897319e-22 
40 0.02391972008 -0.06415561898 8.477319176e-22 
40 0.02432102995 -0.06969802378 8.052975207e-22 
40 0.02470225016 -0.07524154413 7.442018637e-22 
40 0.02507233794 -0.08078551613 6.658466238e-22 
40 0.02543750595 -0.08632951159 5.763790054e-22 
40 0.02580143235 -0.09187328591 4.830077209e-22 
41 -0.005555555556 0 0 
41 0 0 0 
41 0.005122239361 -0.002156320444 9.349073372e-22 
41 0.009371211992 -0.005740486383 2.098308609e-21 
41 0.01272269574 -0.01017595579 3.105969306e-21 
41 0.01531325723 -0.01509493755 3.813612391e-21 
41 0.01730812046 -0.0202840743 4.193340139e-21 
41 0.01885287405 -0.02562433245 4.266539193e-21 
41 0.0200628167 -0.03105001401 4.07306427e-21 
41 0.02102544839 -0.03652471471 3.662858799e-21 
